type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_wine_datasulfur_dioxide,density,pH,sulphates,alcohol,quality,wine_id,alcohol_content,good_or_bad
white,7.2,0.23,0.19,13.700,0.0520,47,197,0.99865,3.120,0.53,9.00,5,217,low,bad
white,7.4,0.18,0.30,8.800,0.0640,26,103,0.99610,2.940,0.56,9.30,5,218,low,bad
white,6.4,0.21,0.50,11.600,0.0420,45,153,0.99720,3.150,0.43,8.80,5,219,low,bad
white,7.6,0.30,0.27,10.600,0.0390,31,119,0.99815,3.270,0.30,9.30,6,220,low,bad
white,7.0,0.16,0.32,8.300,0.0450,38,126,0.99580,3.210,0.34,9.20,5,221,low,bad
white,7.2,0.29,0.53,18.150,0.0470,59,182,0.99920,3.090,0.52,9.60,5,222,low,bad
white,7.7,0.34,0.28,11.000,0.0400,31,117,0.99815,3.270,0.29,9.20,6,223,low,bad
white,7.7,0.34,0.28,11.000,0.0400,31,117,0.99815,3.270,0.29,9.20,6,224,low,bad
white,8.6,0.37,0.70,12.150,0.0390,21,158,0.99830,3.000,0.73,9.30,6,225,low,bad
white,6.5,0.38,0.34,3.400,0.0360,34,200,0.99370,3.140,0.76,10.00,5,226,medium-low,bad
white,7.6,0.30,0.27,10.600,0.0390,31,119,0.99815,3.270,0.30,9.30,6,227,low,bad
white,6.6,0.24,0.29,2.000,0.0230,19,86,0.99000,3.250,0.45,12.50,6,228,medium,bad
white,6.7,0.54,0.28,5.400,0.0600,21,105,0.99490,3.270,0.37,9.00,5,229,low,bad
white,7.7,0.34,0.28,11.000,0.0400,31,117,0.99815,3.270,0.29,9.20,6,230,low,bad
white,6.4,0.46,0.08,4.900,0.0460,34,144,0.99445,3.100,0.56,10.00,5,231,medium-low,bad
white,5.5,0.16,0.22,4.500,0.0300,30,102,0.99380,3.240,0.36,9.40,6,232,low,bad
white,7.4,0.32,0.27,1.400,0.0490,38,173,0.99335,3.030,0.52,9.30,5,233,low,bad
white,7.2,0.31,0.26,7.300,0.0500,37,157,0.99625,3.090,0.43,9.00,5,234,low,bad
white,7.0,0.24,0.51,11.000,0.0290,55,227,0.99650,3.030,0.61,9.50,5,235,low,bad
white,6.8,0.22,0.31,1.400,0.0530,34,114,0.99290,3.390,0.77,10.60,6,236,medium-low,bad
white,7.1,0.20,0.34,16.000,0.0500,51,166,0.99850,3.210,0.60,9.20,6,237,low,bad
white,7.8,0.42,0.23,8.800,0.0540,42,215,0.99710,3.020,0.58,9.20,6,238,low,bad
white,7.0,0.22,0.28,1.500,0.0370,29,115,0.99270,3.110,0.55,10.50,6,239,medium-low,bad
white,7.1,0.34,0.20,6.100,0.0630,47,164,0.99460,3.170,0.42,10.00,5,240,medium-low,bad
white,6.9,0.24,0.33,12.500,0.0460,47,153,0.99830,3.280,0.77,9.60,6,241,low,bad
white,7.1,0.55,0.13,1.700,0.0730,21,165,0.99400,2.970,0.58,9.20,6,242,low,bad
white,6.3,0.22,0.33,1.700,0.0410,67,164,0.99280,3.320,0.56,10.40,6,243,medium-low,bad
white,7.3,0.22,0.30,8.200,0.0470,42,207,0.99660,3.330,0.46,9.50,6,244,low,bad
white,5.4,0.18,0.24,4.800,0.0410,30,113,0.99445,3.420,0.40,9.40,6,245,low,bad
white,7.1,0.43,0.61,11.800,0.0450,54,155,0.99740,3.110,0.45,8.70,5,246,low,bad
white,6.7,0.47,0.34,8.900,0.0430,31,172,0.99640,3.220,0.60,9.20,5,247,low,bad
white,7.8,0.27,0.58,11.200,0.0360,44,161,0.99770,3.060,0.41,8.90,6,248,low,bad
white,7.1,0.44,0.62,11.800,0.0440,52,152,0.99750,3.120,0.46,8.70,6,249,low,bad
white,5.9,0.36,0.41,1.300,0.0470,45,104,0.99170,3.330,0.51,10.60,6,250,medium-low,bad
white,6.0,0.28,0.49,6.800,0.0480,61,222,0.99530,3.190,0.47,9.30,5,251,low,bad
white,6.8,0.25,0.31,13.300,0.0500,69,202,0.99720,3.220,0.48,9.70,6,252,low,bad
white,5.8,0.25,0.24,13.300,0.0440,41,137,0.99720,3.340,0.42,9.50,5,253,low,bad
white,6.8,0.57,0.29,2.200,0.0400,15,77,0.99380,3.320,0.74,10.20,5,254,medium-low,bad
white,6.8,0.39,0.35,11.600,0.0440,57,220,0.99775,3.070,0.53,9.30,5,255,low,bad
white,6.1,0.40,0.31,0.900,0.0480,23,170,0.99300,3.220,0.77,9.50,6,256,low,bad
white,7.1,0.43,0.61,11.800,0.0450,54,155,0.99740,3.110,0.45,8.70,5,257,low,bad
white,6.7,0.47,0.34,8.900,0.0430,31,172,0.99640,3.220,0.60,9.20,5,258,low,bad
white,7.1,0.44,0.62,11.800,0.0440,52,152,0.99750,3.120,0.46,8.70,6,259,low,bad
white,5.6,0.25,0.25,9.700,0.0320,12,68,0.99400,3.310,0.34,10.50,5,260,medium-low,bad
white,6.2,0.37,0.30,6.600,0.3460,79,200,0.99540,3.290,0.58,9.60,5,261,low,bad
white,7.0,0.16,0.32,8.300,0.0450,38,126,0.99580,3.210,0.34,9.20,5,262,low,bad
white,7.2,0.39,0.63,11.000,0.0440,55,156,0.99740,3.090,0.44,8.70,6,263,low,bad
white,6.7,0.13,0.29,5.300,0.0510,31,122,0.99440,3.440,0.37,9.70,6,264,low,bad
white,6.2,0.18,0.38,1.500,0.0280,36,117,0.99300,3.470,0.54,9.70,6,265,low,bad
white,6.1,0.27,0.43,7.500,0.0490,65,243,0.99570,3.120,0.47,9.00,5,266,low,bad
white,7.3,0.32,0.34,6.600,0.0320,24,112,0.99505,3.220,0.46,9.80,6,267,low,bad
white,6.0,0.16,0.37,1.500,0.0250,43,117,0.99280,3.460,0.51,9.70,6,268,low,bad
white,7.1,0.26,0.29,12.400,0.0440,62,240,0.99690,3.040,0.42,9.20,6,269,low,bad
white,7.8,0.27,0.58,11.200,0.0360,44,161,0.99770,3.060,0.41,8.90,6,270,low,bad
white,5.8,0.26,0.24,9.200,0.0440,55,152,0.99610,3.310,0.38,9.40,5,271,low,bad
white,6.6,0.34,0.28,1.300,0.0350,32,90,0.99160,3.100,0.42,10.70,6,272,medium-low,bad
white,7.4,0.29,0.29,1.600,0.0450,53,180,0.99360,3.340,0.68,10.50,6,273,medium-low,bad
white,6.0,0.34,0.66,15.900,0.0460,26,164,0.99790,3.140,0.50,8.80,6,274,low,bad
white,6.0,0.34,0.66,15.900,0.0460,26,164,0.99790,3.140,0.50,8.80,6,275,low,bad
white,6.4,0.31,0.26,13.200,0.0460,57,205,0.99750,3.170,0.41,9.60,5,276,low,bad
white,7.5,0.27,0.36,7.000,0.0360,45,164,0.99390,3.030,0.33,11.00,5,277,medium-low,bad
white,7.4,0.26,0.31,7.600,0.0470,52,177,0.99620,3.130,0.45,8.90,6,278,low,bad
white,7.4,0.25,0.37,13.500,0.0600,52,192,0.99750,3.000,0.44,9.10,5,279,low,bad
white,5.8,0.26,0.24,9.200,0.0440,55,152,0.99610,3.310,0.38,9.40,5,280,low,bad
white,5.7,0.28,0.24,17.500,0.0440,60,167,0.99890,3.310,0.44,9.40,5,281,low,bad
white,6.2,0.29,0.26,13.100,0.0460,55,204,0.99745,3.160,0.41,9.60,6,282,low,bad
white,7.1,0.12,0.32,9.600,0.0540,64,162,0.99620,3.400,0.41,9.40,5,283,low,bad
white,7.5,0.23,0.36,7.000,0.0360,43,161,0.99380,3.040,0.32,11.00,5,284,medium-low,bad
white,7.0,0.28,0.36,1.000,0.0350,8,70,0.98990,3.090,0.46,12.10,6,285,medium,bad
white,6.0,0.21,0.24,12.100,0.0500,55,164,0.99700,3.340,0.39,9.40,5,286,low,bad
white,7.8,0.19,0.26,8.900,0.0390,42,182,0.99600,3.180,0.46,9.90,6,287,low,bad
white,6.0,0.39,0.17,12.000,0.0460,65,246,0.99760,3.150,0.38,9.00,6,288,low,bad
white,6.3,0.19,0.28,1.800,0.0220,28,158,0.99070,3.200,0.64,11.40,6,289,medium-low,bad
white,7.5,0.27,0.36,7.000,0.0360,45,164,0.99390,3.030,0.33,11.00,5,290,medium-low,bad
white,6.2,0.30,0.26,13.400,0.0460,57,206,0.99775,3.170,0.43,9.50,6,291,low,bad
white,7.5,0.31,0.40,18.900,0.0590,44,170,1.00000,2.990,0.46,9.00,5,292,low,bad
white,7.2,0.69,0.21,9.500,0.0700,33,172,0.99710,3.000,0.55,9.10,6,293,low,bad
white,6.0,0.28,0.49,6.800,0.0480,61,222,0.99530,3.190,0.47,9.30,5,294,low,bad
white,7.4,0.25,0.37,13.500,0.0600,52,192,0.99750,3.000,0.44,9.10,5,295,low,bad
white,6.0,0.41,0.05,1.500,0.0630,17,120,0.99320,3.210,0.56,9.20,6,296,low,bad
white,7.3,0.13,0.32,14.400,0.0510,34,109,0.99740,3.200,0.35,9.20,6,297,low,bad
white,6.5,0.19,0.30,0.800,0.0430,33,144,0.99360,3.420,0.39,9.10,6,298,low,bad
white,7.1,0.24,0.41,17.800,0.0460,39,145,0.99980,3.320,0.39,8.70,5,299,low,bad
white,6.8,0.20,0.38,4.700,0.0400,27,103,0.99400,3.370,0.58,10.70,6,300,medium-low,bad
white,7.1,0.12,0.32,9.600,0.0540,64,162,0.99620,3.400,0.41,9.40,5,301,low,bad
white,6.4,0.17,0.32,2.400,0.0480,41,200,0.99380,3.500,0.50,9.70,6,302,low,bad
white,6.5,0.26,0.32,16.500,0.0450,44,166,1.00000,3.380,0.46,9.50,6,303,low,bad
white,5.7,0.44,0.13,7.000,0.0250,28,173,0.99130,3.330,0.48,12.50,6,304,medium,bad
white,7.1,0.23,0.35,16.500,0.0400,60,171,0.99900,3.160,0.59,9.10,6,305,low,bad
white,7.1,0.25,0.32,10.300,0.0410,66,272,0.99690,3.170,0.52,9.10,6,306,low,bad
white,7.9,0.35,0.24,15.600,0.0720,44,229,0.99785,3.030,0.59,10.50,6,307,medium-low,bad
white,7.1,0.23,0.35,16.500,0.0400,60,171,0.99900,3.160,0.59,9.10,6,308,low,bad
white,6.4,0.17,0.32,2.400,0.0480,41,200,0.99380,3.500,0.50,9.70,6,309,low,bad
white,6.2,0.30,0.17,2.800,0.0400,24,125,0.99390,3.010,0.46,9.00,5,310,low,bad
white,6.9,0.33,0.28,1.300,0.0510,37,187,0.99270,3.270,0.60,10.30,5,311,medium-low,bad
white,7.1,0.24,0.41,17.800,0.0460,39,145,0.99980,3.320,0.39,8.70,5,312,low,bad
white,8.4,0.18,0.42,5.100,0.0360,7,77,0.99390,3.160,0.52,11.70,5,313,medium,bad
white,6.5,0.17,0.54,8.500,0.0820,64,163,0.99590,2.890,0.39,8.80,6,314,low,bad
white,6.6,0.56,0.22,8.900,0.0340,27,133,0.99675,3.200,0.51,9.10,5,315,low,bad
white,7.2,0.27,0.46,18.750,0.0520,45,255,1.00000,3.040,0.52,8.90,5,316,low,bad
white,6.8,0.64,0.08,9.700,0.0620,26,142,0.99720,3.370,0.46,8.90,4,317,low,bad
white,6.2,0.30,0.17,2.800,0.0400,24,125,0.99390,3.010,0.46,9.00,5,318,low,bad
white,7.2,0.31,0.50,13.300,0.0560,68,195,0.99820,3.010,0.47,9.20,5,319,low,bad
white,8.3,0.28,0.40,7.800,0.0410,38,194,0.99760,3.340,0.51,9.60,6,320,low,bad
white,8.2,0.27,0.39,7.800,0.0390,49,208,0.99760,3.310,0.51,9.50,6,321,low,bad
white,6.6,0.56,0.22,8.900,0.0340,27,133,0.99675,3.200,0.51,9.10,5,322,low,bad
white,6.7,0.41,0.34,9.200,0.0490,29,150,0.99680,3.220,0.51,9.10,5,323,low,bad
white,7.2,0.23,0.38,14.300,0.0580,55,194,0.99790,3.090,0.44,9.00,6,324,low,bad
white,7.3,0.66,0.20,10.200,0.0710,28,212,0.99710,2.960,0.58,9.20,6,325,low,bad
white,6.7,0.41,0.34,9.200,0.0490,29,150,0.99680,3.220,0.51,9.10,5,326,low,bad
white,7.2,0.23,0.38,14.300,0.0580,55,194,0.99790,3.090,0.44,9.00,6,327,low,bad
white,6.8,0.18,0.21,5.400,0.0530,34,104,0.99445,3.300,0.43,9.40,5,328,low,bad
white,5.5,0.49,0.00,1.500,0.0650,8,103,0.99400,3.630,0.40,9.70,4,329,low,bad
white,7.2,0.23,0.38,14.300,0.0580,55,194,0.99790,3.090,0.44,9.00,6,330,low,bad
white,6.7,0.19,0.23,6.200,0.0470,36,117,0.99450,3.340,0.43,9.60,6,331,low,bad
white,8.4,0.18,0.42,5.100,0.0360,7,77,0.99390,3.160,0.52,11.70,5,332,medium,bad
white,7.2,0.23,0.38,14.300,0.0580,55,194,0.99790,3.090,0.44,9.00,6,333,low,bad
white,7.0,0.21,0.37,7.200,0.0420,36,167,0.99580,3.260,0.56,9.80,6,334,low,bad
white,7.2,0.40,0.62,10.800,0.0410,70,189,0.99760,3.080,0.49,8.60,4,335,low,bad
white,6.8,0.52,0.32,13.200,0.0440,54,221,0.99720,3.270,0.50,9.60,6,336,low,bad
white,6.8,0.23,0.32,1.600,0.0260,43,147,0.99040,3.290,0.54,12.50,6,337,medium,bad
white,6.2,0.25,0.21,15.550,0.0390,28,159,0.99820,3.480,0.64,9.60,6,338,low,bad
white,6.8,0.25,0.38,8.100,0.0460,24,155,0.99560,3.330,0.59,10.20,6,339,medium-low,bad
white,5.7,0.34,0.34,1.000,0.0400,13,174,0.99200,3.270,0.66,10.00,5,340,medium-low,bad
white,7.3,0.32,0.23,13.700,0.0500,49,197,0.99850,3.200,0.46,8.70,5,341,low,bad
white,7.3,0.21,0.31,1.700,0.0600,34,110,0.99630,3.720,0.69,10.50,6,342,medium-low,bad
white,7.2,0.40,0.62,10.800,0.0410,70,189,0.99760,3.080,0.49,8.60,4,343,low,bad
white,7.7,0.31,0.26,7.800,0.0310,23,90,0.99440,3.130,0.50,10.40,5,344,medium-low,bad
white,7.4,0.17,0.40,5.500,0.0370,34,161,0.99350,3.050,0.62,11.50,4,345,medium,bad
white,6.0,0.31,0.24,3.300,0.0410,25,143,0.99140,3.310,0.44,11.30,6,346,medium-low,bad
white,6.9,0.25,0.34,1.300,0.0350,27,82,0.99045,3.180,0.44,12.20,6,347,medium,bad
white,6.8,0.24,0.34,2.700,0.0470,65,219,0.99340,3.300,0.58,9.70,6,348,low,bad
white,7.2,0.28,0.54,16.700,0.0450,54,200,0.99900,3.080,0.49,9.50,6,349,low,bad
white,7.3,0.21,0.31,1.700,0.0600,34,110,0.99630,3.720,0.69,10.50,6,350,medium-low,bad
white,6.9,0.40,0.56,11.200,0.0430,40,142,0.99750,3.140,0.46,8.70,5,351,low,bad
white,7.0,0.14,0.40,1.700,0.0350,16,85,0.99110,3.190,0.42,11.80,6,352,medium,bad
white,6.1,0.18,0.36,2.000,0.0380,20,250,0.99230,3.370,0.79,11.30,6,353,medium-low,bad
white,6.8,0.19,0.58,14.200,0.0380,51,164,0.99750,3.120,0.48,9.60,6,354,low,bad
white,6.6,0.22,0.37,15.400,0.0350,62,153,0.99845,3.020,0.40,9.30,5,355,low,bad
white,5.9,0.21,0.28,4.600,0.0530,40,199,0.99640,3.720,0.70,10.00,4,356,medium-low,bad
white,7.2,0.31,0.50,13.300,0.0560,68,195,0.99820,3.010,0.47,9.20,5,357,low,bad
white,8.5,0.26,0.21,16.200,0.0740,41,197,0.99800,3.020,0.50,9.80,3,358,low,bad
white,6.4,0.30,0.30,2.250,0.0380,8,210,0.99370,3.200,0.62,9.90,6,359,low,bad
white,9.2,0.34,0.27,1.200,0.0260,17,73,0.99210,3.080,0.39,10.80,5,360,medium-low,bad
white,6.9,0.40,0.56,11.200,0.0430,40,142,0.99750,3.140,0.46,8.70,5,361,low,bad
white,6.5,0.30,0.29,2.250,0.0370,8,210,0.99370,3.190,0.62,9.90,5,362,low,bad
white,7.3,0.32,0.48,13.300,0.0600,57,196,0.99820,3.040,0.50,9.20,5,363,low,bad
white,6.0,0.20,0.24,1.800,0.0300,30,105,0.99090,3.310,0.47,11.50,6,364,medium,bad
white,7.8,0.18,0.31,12.200,0.0530,46,140,0.99800,3.060,0.53,8.90,6,365,low,bad
white,5.9,0.36,0.04,5.700,0.0460,21,87,0.99340,3.220,0.51,10.20,5,366,medium-low,bad
white,8.2,0.38,0.49,13.600,0.0420,58,166,0.99855,3.100,0.54,9.40,5,367,low,bad
white,5.8,0.24,0.44,3.500,0.0290,5,109,0.99130,3.530,0.43,11.70,3,368,medium,bad
white,7.8,0.18,0.31,12.200,0.0530,46,140,0.99800,3.060,0.53,8.90,6,369,low,bad
white,7.8,0.24,0.32,12.200,0.0540,42,138,0.99840,3.010,0.54,8.80,5,370,low,bad
white,7.4,0.16,0.31,6.850,0.0590,31,131,0.99520,3.290,0.34,9.70,5,371,low,bad
white,7.7,0.34,0.58,11.100,0.0390,41,151,0.99780,3.060,0.49,8.60,5,372,low,bad
white,5.8,0.24,0.39,1.500,0.0540,37,158,0.99320,3.210,0.52,9.30,6,373,low,bad
white,7.3,0.51,0.26,3.300,0.0900,7,135,0.99440,3.010,0.52,8.80,5,374,low,bad
white,8.2,0.38,0.49,13.600,0.0420,58,166,0.99855,3.100,0.54,9.40,5,375,low,bad
white,6.4,0.23,0.39,1.800,0.0320,23,118,0.99120,3.320,0.50,11.80,6,376,medium,bad
white,5.9,0.62,0.28,3.500,0.0390,55,152,0.99070,3.440,0.44,12.00,6,377,medium,bad
white,8.2,0.40,0.48,13.700,0.0420,59,169,0.99860,3.100,0.52,9.40,5,378,low,bad
white,5.8,0.36,0.38,0.900,0.0370,3,75,0.99040,3.280,0.34,11.40,4,379,medium-low,bad
white,6.9,0.12,0.35,5.400,0.0480,36,108,0.99390,3.320,0.42,10.20,6,380,medium-low,bad
white,6.7,0.27,0.12,1.300,0.0410,62,138,0.99210,3.210,0.42,10.00,6,381,medium-low,bad
white,6.6,0.30,0.30,4.800,0.1700,60,166,0.99460,3.180,0.47,9.40,5,382,low,bad
white,7.8,0.34,0.35,1.800,0.0420,8,167,0.99080,3.110,0.41,12.10,6,383,medium,bad
white,4.8,0.34,0.00,6.500,0.0280,33,163,0.99390,3.360,0.61,9.90,6,384,low,bad
white,6.9,0.29,0.40,19.450,0.0430,36,156,0.99960,2.930,0.47,8.90,5,385,low,bad
white,6.9,0.19,0.28,5.000,0.0580,14,146,0.99520,3.290,0.36,9.10,6,386,low,bad
white,7.3,0.26,0.36,5.200,0.0400,31,141,0.99310,3.160,0.59,11.00,6,387,medium-low,bad
white,6.4,0.13,0.47,1.600,0.0920,40,158,0.99280,3.210,0.36,9.80,6,388,low,bad
white,6.2,0.28,0.33,1.700,0.0290,24,111,0.99000,3.240,0.50,12.10,6,389,medium,bad
white,4.8,0.33,0.00,6.500,0.0280,34,163,0.99370,3.350,0.61,9.90,5,390,low,bad
white,7.4,0.36,0.33,1.400,0.0250,27,55,0.99150,3.210,0.33,11.20,6,391,medium-low,bad
white,6.1,0.27,0.33,2.200,0.0210,26,117,0.98860,3.120,0.30,12.50,6,392,medium,bad
white,6.1,0.31,0.26,2.200,0.0510,28,167,0.99260,3.370,0.47,10.40,6,393,medium-low,bad
white,6.7,0.19,0.36,1.100,0.0260,63,143,0.99120,3.270,0.48,11.00,6,394,medium-low,bad
white,7.3,0.24,0.29,1.200,0.0370,37,97,0.99260,3.190,0.70,10.10,6,395,medium-low,bad
white,6.8,0.18,0.37,1.600,0.0550,47,154,0.99340,3.080,0.45,9.10,5,396,low,bad
white,6.9,0.28,0.40,8.200,0.0360,15,95,0.99440,3.170,0.33,10.20,5,397,medium-low,bad
white,7.4,0.39,0.23,7.000,0.0330,29,126,0.99400,3.140,0.42,10.50,5,398,medium-low,bad
white,6.1,0.30,0.56,2.700,0.0460,46,184,0.99240,3.310,0.57,10.90,6,399,medium-low,bad
white,6.0,0.45,0.65,9.700,0.0800,11,159,0.99560,3.040,0.48,9.40,5,400,low,bad
white,7.4,0.15,0.42,1.700,0.0450,49,154,0.99200,3.000,0.60,10.40,6,401,medium-low,bad
white,7.2,0.29,0.40,13.600,0.0450,66,231,0.99770,3.080,0.59,9.60,6,402,low,bad
white,7.2,0.34,0.34,12.600,0.0480,7,41,0.99420,3.190,0.40,11.70,5,403,medium,bad
white,6.2,0.24,0.35,1.200,0.0380,22,167,0.99120,3.100,0.48,10.60,6,404,medium-low,bad
white,7.7,0.34,0.58,11.100,0.0390,41,151,0.99780,3.060,0.49,8.60,5,405,low,bad
white,6.9,0.29,0.40,19.450,0.0430,36,156,0.99960,2.930,0.47,8.90,5,406,low,bad
white,6.3,0.26,0.21,4.000,0.0300,24,125,0.99150,3.060,0.34,10.70,6,407,medium-low,bad
white,7.7,0.15,0.29,1.300,0.0290,10,64,0.99320,3.350,0.39,10.10,5,408,medium-low,bad
white,7.9,0.19,0.26,2.100,0.0390,8,143,0.99420,3.050,0.74,9.80,5,409,low,bad
white,6.0,0.28,0.34,1.600,0.1190,33,104,0.99210,3.190,0.38,10.20,6,410,medium-low,bad
white,6.9,0.32,0.26,8.300,0.0530,32,180,0.99650,3.250,0.51,9.20,6,411,low,bad
white,6.9,0.25,0.40,1.300,0.0380,22,101,0.99010,3.030,0.39,11.40,6,412,medium-low,bad
white,6.2,0.16,0.54,1.400,0.1260,37,110,0.99320,3.230,0.37,8.90,6,413,low,bad
white,5.4,0.59,0.07,7.000,0.0450,36,147,0.99440,3.340,0.57,9.70,6,414,low,bad
white,5.7,0.26,0.25,10.400,0.0200,7,57,0.99400,3.390,0.37,10.60,5,415,medium-low,bad
white,5.8,0.36,0.32,1.700,0.0330,22,96,0.98980,3.030,0.38,11.20,6,416,medium-low,bad
white,6.9,0.32,0.26,8.300,0.0530,32,180,0.99650,3.250,0.51,9.20,6,417,low,bad
white,6.5,0.43,0.40,13.100,0.0380,59,241,0.99790,3.230,0.57,9.00,5,418,low,bad
white,5.6,0.35,0.37,1.000,0.0380,6,72,0.99020,3.370,0.34,11.40,5,419,medium-low,bad
white,6.6,0.24,0.27,15.800,0.0350,46,188,0.99820,3.240,0.51,9.20,5,420,low,bad
white,5.2,0.60,0.07,7.000,0.0440,33,147,0.99440,3.330,0.58,9.70,5,421,low,bad
white,5.9,0.32,0.39,3.300,0.1140,24,140,0.99340,3.090,0.45,9.20,6,422,low,bad
white,5.8,0.25,0.26,13.100,0.0510,44,148,0.99720,3.290,0.38,9.30,5,423,low,bad
white,6.8,0.27,0.22,8.100,0.0340,55,203,0.99610,3.190,0.52,8.90,5,424,low,bad
white,7.2,0.31,0.46,5.000,0.0400,3,29,0.99060,3.040,0.53,12.50,4,425,medium,bad
white,6.6,0.58,0.30,5.100,0.0570,30,123,0.99490,3.240,0.38,9.00,5,426,low,bad
white,6.1,0.28,0.22,1.800,0.0340,32,116,0.98980,3.360,0.44,12.60,6,427,medium,bad
white,7.0,0.29,0.54,10.700,0.0460,59,234,0.99660,3.050,0.61,9.50,5,428,low,bad
white,5.2,0.36,0.02,1.600,0.0310,24,104,0.98960,3.440,0.35,12.20,6,429,medium,bad
white,6.6,0.19,0.41,8.900,0.0460,51,169,0.99540,3.140,0.57,9.80,6,430,low,bad
white,5.6,0.19,0.47,4.500,0.0300,19,112,0.99220,3.560,0.45,11.20,6,431,medium-low,bad
white,6.7,0.20,0.41,9.100,0.0440,50,166,0.99540,3.140,0.58,9.80,6,432,low,bad
white,6.4,0.10,0.35,4.900,0.0480,31,103,0.99470,3.430,0.79,9.70,6,433,low,bad
white,7.7,0.26,0.40,1.100,0.0420,9,60,0.99150,2.890,0.50,10.60,5,434,medium-low,bad
white,6.4,0.18,0.48,4.000,0.1860,64,150,0.99450,3.060,0.40,9.30,5,435,low,bad
white,6.8,0.32,0.34,1.200,0.0440,14,67,0.99190,3.050,0.47,10.60,4,436,medium-low,bad
white,7.4,0.25,0.36,13.200,0.0670,53,178,0.99760,3.010,0.48,9.00,6,437,low,bad
white,7.1,0.18,0.42,1.400,0.0450,47,157,0.99160,2.950,0.31,10.50,6,438,medium-low,bad
white,6.8,0.44,0.37,5.100,0.0470,46,201,0.99380,3.080,0.65,10.50,4,439,medium-low,bad
white,7.4,0.25,0.36,13.200,0.0670,53,178,0.99760,3.010,0.48,9.00,6,440,low,bad
white,8.3,0.14,0.26,1.500,0.0490,56,189,0.99460,3.210,0.62,9.50,6,441,low,bad
white,6.7,0.34,0.30,15.600,0.0540,51,196,0.99820,3.190,0.49,9.30,5,442,low,bad
white,7.4,0.25,0.36,13.200,0.0670,53,178,0.99760,3.010,0.48,9.00,6,443,low,bad
white,8.8,0.36,0.44,1.900,0.0400,9,121,0.99530,3.190,0.48,9.90,6,444,low,bad
white,7.6,0.19,0.38,10.600,0.0600,48,174,0.99620,3.130,0.38,10.50,6,445,medium-low,bad
white,7.1,0.35,0.24,15.400,0.0550,46,198,0.99880,3.120,0.49,8.80,5,446,low,bad
white,7.9,0.35,0.51,15.300,0.0470,54,171,0.99870,3.090,0.51,9.10,5,447,low,bad
white,6.8,0.34,0.74,2.800,0.0880,23,185,0.99280,3.510,0.70,12.00,6,448,medium,bad
white,7.3,0.32,0.25,7.200,0.0560,47,180,0.99610,3.080,0.47,8.80,5,449,low,bad
white,6.2,0.15,0.46,1.600,0.0390,38,123,0.99300,3.380,0.51,9.70,6,450,low,bad
white,7.9,0.35,0.51,15.300,0.0470,54,171,0.99870,3.090,0.51,9.10,5,451,low,bad
white,6.6,0.14,0.44,1.600,0.0420,47,140,0.99300,3.320,0.51,10.20,6,452,medium-low,bad
white,8.0,0.55,0.17,8.200,0.0400,13,60,0.99560,3.090,0.30,9.50,4,453,low,bad
white,7.4,0.25,0.36,13.200,0.0670,53,178,0.99760,3.010,0.48,9.00,6,454,low,bad
white,6.3,0.60,0.44,11.000,0.0500,50,245,0.99720,3.190,0.57,9.30,4,455,low,bad
white,6.1,0.24,0.30,1.500,0.0450,22,61,0.99200,3.310,0.54,10.40,5,456,medium-low,bad
white,7.1,0.20,0.41,2.100,0.0540,24,166,0.99480,3.480,0.62,10.50,6,457,medium-low,bad
white,6.8,0.25,0.24,4.550,0.0530,41,211,0.99550,3.370,0.67,9.50,6,458,low,bad
white,7.4,0.26,0.43,6.000,0.0220,22,125,0.99280,3.130,0.55,11.50,6,459,medium,bad
white,6.2,0.34,0.29,7.600,0.0470,45,232,0.99550,3.350,0.62,10.00,6,460,medium-low,bad
white,6.7,0.31,0.31,9.900,0.0400,10,175,0.99530,3.460,0.55,11.40,4,461,medium-low,bad
white,7.4,0.26,0.43,6.000,0.0220,22,125,0.99280,3.130,0.55,11.50,6,462,medium,bad
white,7.1,0.30,0.36,6.800,0.0550,45,234,0.99720,3.490,0.64,10.20,6,463,medium-low,bad
white,6.8,0.23,0.29,12.200,0.0350,38,236,0.99760,3.350,0.52,9.80,6,464,low,bad
white,7.1,0.30,0.36,6.800,0.0550,45,234,0.99720,3.490,0.64,10.20,6,465,medium-low,bad
white,7.3,0.26,0.31,1.600,0.0400,39,173,0.99180,3.190,0.51,11.40,6,466,medium-low,bad
white,7.9,0.64,0.46,10.600,0.2440,33,227,0.99830,2.870,0.74,9.10,3,467,low,bad
white,8.8,0.17,0.38,1.800,0.0400,39,148,0.99420,3.160,0.67,10.20,6,468,medium-low,bad
white,7.5,0.17,0.37,1.500,0.0600,18,75,0.99360,3.540,0.88,10.70,5,469,medium-low,bad
white,7.1,0.47,0.24,6.000,0.0440,11,77,0.99560,3.210,0.56,9.70,5,470,low,bad
white,7.3,0.26,0.31,1.600,0.0400,39,173,0.99180,3.190,0.51,11.40,6,471,medium-low,bad
white,7.2,0.46,0.65,10.400,0.0500,76,192,0.99760,3.160,0.42,8.70,5,472,low,bad
white,7.5,0.17,0.34,1.400,0.0350,13,102,0.99180,3.050,0.74,11.00,5,473,medium-low,bad
white,5.5,0.35,0.35,1.100,0.0450,14,167,0.99200,3.340,0.68,9.90,6,474,low,bad
